Hero Name,Facet,Win Rate,No Matches,KDA
Pudge,Fresh Meat,53.42,1097513,2.95
Shadow Fiend,Shadowmire,47.89,864369,2.86
Ogre Magi,Fat Chance,52.19,711332,2.94
Spirit Breaker,Bull Rush,50.58,693531,3.39
Juggernaut,Bladestorm,53.14,655731,2.79
Sniper,Ghillie Suit,49.84,592854,3.25
Drow Ranger,Vantage Point,54.34,511744,2.76
Lion,Essence Eater,47.37,511443,2.47
Zeus,Divine Rampage,51.92,505134,4.4
Zeus,Livewire,51.30,495874,4.22
Phantom Assassin,Veiled One,51.29,495348,2.68
Wraith King,Spectral Blade,59.47,465298,3.79
Jakiro,Liquid Fire,51.49,456764,2.69
Weaver,Skitterstep,51.38,437916,3.39
Pudge,Flayer's Hook,48.48,416947,2.67
Legion Commander,Stonehall Plate,49.27,412483,2.86
Witch Doctor,Headhunter,54.91,409291,3.12
Silencer,Irrepressible,58.84,405354,2.76
Warlock,Champion of Gorroth,58.63,400786,3.39
Crystal Maiden,Frozen Expanse,51.69,399526,2.74
Invoker,Elitist,45.08,397849,3.06
Axe,Call Out,55.15,396297,2.73
Rubick,Arcane Accumulation,49.29,390449,3.46
Shadow Shaman,Cluster Cluck,55.65,390028,3.11
Venomancer,Patient Zero,52.18,365315,2.88
Windranger,Tailwind,49.12,363585,3.34
Nyx Assassin,Mana Burn,48.06,359016,2.77
Faceless Void,Temporal Impunity,51.00,352591,3.01
Necrophos,Profane Potency,54.56,348912,3.18
Viper,Poison Burst,48.93,347707,2.62
Axe,One Man Army,57.69,342688,2.99
Ancient Apparition,Bone Chill,52.78,339983,3.03
Lion,Fist of Death,44.63,333157,2.32
Lina,Slow Burn,44.76,329322,2.47
Vengeful Spirit,Soul Strike,52.62,318668,2.51
Sand King,Dust Devil,54.30,316716,2.57
Magnus,Run Through,41.70,315908,2.48
Rubick,Frugal Filch,45.47,315012,3.11
Monkey King,Wukong's Faithful,47.18,313446,2.48
Hoodwink,Go Nuts,47.20,311288,3.26
Dark Willow,Throwing Shade,47.86,310320,2.84
Ursa,Grudge Bearer,50.89,306378,2.71
Clinkz,Suppressive Fire,50.27,304218,2.76
Slark,Leeching Leash,47.84,303023,2.5
Earthshaker,Tectonic Buildup,48.02,301649,2.74
Bounty Hunter,Cutpurse,49.84,294309,2.65
Lifestealer,Corpse Eater,51.41,283447,2.99
Storm Spirit,Shock Collar,50.02,281523,3.15
Bristleback,Berserk,53.41,272749,2.74
Riki,Contract Killer,50.77,271118,3.09
Chaos Knight,Phantasmagoria,55.33,270233,2.88
Lich,Frostbound,57.63,268956,3.02
Queen Of Pain,Succubus,46.22,268918,3.09
Techies,Spoon's Stash,43.22,267960,2.34
Hoodwink,Treebounce Trickshot,49.48,267754,3.41
Natures Prophet,Soothing Saplings,43.92,265904,2.28
Bounty Hunter,Through and Through,49.61,261037,2.78
Undying,Rotting Mitts,53.56,260936,3.02
Dazzle,Poison Bloom,48.17,257174,2.57
Invoker,Agnostic,43.64,256805,2.86
Phantom Assassin,Methodical,46.67,254943,2.35
Disruptor,Thunderstorm,48.70,253981,3.28
Earthshaker,Slugger,45.49,250725,2.6
Skywrath Mage,Shield of the Scion,52.71,247997,3.47
Tiny,Insurmountable,51.46,245125,3.36
Vengeful Spirit,Avenging Missile,52.33,241862,2.5
Marci,Sidekick,45.04,236187,2.29
Sniper,Scattershot,45.32,230384,2.91
Ogre Magi,Learning Curve,52.16,230022,3.05
Sand King,Sandshroud,54.44,227972,2.75
Io,Kritzkrieg,48.43,224985,2.8
Slardar,Leg Day,52.13,221624,2.69
Void Spirit,Sanctuary,52.42,215474,3.56
Silencer,Reverberating Silence,59.42,212180,2.97
Bloodseeker,Arterial Spray,46.91,211907,2.39
Anti Mage,Mana Thirst,50.38,209481,2.9
Phantom Lancer,Divergence,55.14,206175,3.31
Jakiro,Liquid Frost,49.23,202896,2.65
Templar Assassin,Refractor,48.56,200633,3.14
Shadow Shaman,Massive Serpent Ward,53.26,199987,2.68
Huskar,Bloodbath,48.88,198148,2.1
Lina,Thermal Runaway,45.64,197379,2.41
Windranger,Whirlwind,47.62,193230,2.9
Centaur Warrunner,Counter-Strike,53.05,192907,2.87
Slardar,Brineguard,53.14,190219,2.68
Leshrac,Chronoptic Nourishment,58.12,189323,2.87
Witch Doctor,Cleft Death,51.55,183478,2.76
Juggernaut,Bladeform,54.08,183345,2.97
Keeper Of The Light,Solar Bind,43.12,182984,2.89
Razor,Thunderhead,49.12,182755,2.78
Skywrath Mage,Staff of the Scion,52.31,181626,3.34
Tinker,Translocator,46.14,179676,3.26
Tiny,Crash Landing,50.16,178928,3.16
Phoenix,Dying Light,50.26,177453,3.26
Terrorblade,Condemned,42.83,177241,2.07
Mirana,Moonlight Shadow,47.87,176800,3.18
Snapfire,Ricochet II,44.12,174518,2.54
Medusa,Engorged,55.87,173421,4.06
Enchantress,Spellbound,48.07,171928,2.83
Drow Ranger,Sidestep,54.47,171621,2.61
Enigma,Event Horizon,51.10,171133,2.67
Gyrocopter,Secondary Strikes,47.48,171098,2.55
Tusk,Tag Team,41.43,170762,2.36
Luna,Lunar Orbit,48.24,170135,2.49
Ember Spirit,Double Impact,45.59,167701,3.1
Troll Warlord,Insensitive,53.40,165884,2.4
Wraith King,Bone Guard,57.17,165676,3.35
Shadow Fiend,Lasting Presence,46.21,165589,2.3
Luna,Moonstorm,49.20,165466,2.56
Muerta,Dance of the Dead,50.79,165435,2.53
Storm Spirit,Static Slide,50.45,164647,3.37
Abaddon,The Quickening,56.05,164201,3.19
Timbersaw,Twisted Chakram,50.89,162332,3.14
Enchantress,Overprotective Wisps,49.78,161165,3.02
Clockwerk,Expanded Armature,55.55,160949,3.29
Pugna,Siphoning Ward,44.52,160452,2.74
Anti Mage,Magebane's Mirror,47.44,157830,2.56
Legion Commander,Spoils of War,46.05,154940,2.44
Morphling,Ebb,44.70,154496,2.39
Spectre,Twist the Knife,53.08,153898,3.86
Primal Beast,Romp n' Stomp,49.65,151496,3.2
Dragon Knight,Corrosive Dragon,54.88,147386,3.16
Grimstroke,Inkstigate,49.13,146045,3.0
Night Stalker,Night Reign,50.65,146032,3.1
Techies,Spleen's Secret Sauce,42.20,144313,2.17
Underlord,Demon's Reach,52.50,142964,2.9
Venomancer,Plague Carrier,41.73,141770,2.38
Techies,Squee's Scope,40.37,141508,2.2
Spectre,Forsaken,49.03,141437,3.3
Dark Willow,Thorny Thicket,50.44,141198,3.18
Enigma,Splitting Image,51.23,139893,2.59
Winter Wyvern,Dragon Sight,52.19,136817,2.81
Kunkka,High Tide,44.17,134508,2.6
Dazzle,Nothl Boon,49.90,132825,2.69
Lycan,Spirit Wolves,50.39,132435,3.04
Abaddon,Mephitic Shroud,55.92,131942,3.39
Lifestealer,Unfettered,44.97,130930,2.5
Death Prophet,Spirit Collector,47.26,130544,2.79
Centaur Warrunner,Horsepower,56.34,127677,3.17
Dark Seer,Quick Wit,52.63,127468,3.07
Natures Prophet,Ironwood Treant,42.48,126342,2.06
Mars,Blood Sport,48.17,121603,2.84
Dragon Knight,Fire Dragon,48.82,119163,2.65
Mirana,Solar Flare,45.26,118990,2.8
Tidehunter,Krill Eater,50.05,118484,2.82
Doom,Gluttony,46.19,116980,2.57
Bane,Dream Stalker,47.41,116363,2.8
Ancient Apparition,Exposure,50.61,116185,2.9
Outworld Destroyer,Obsidian Decimator,51.55,115982,2.76
Dawnbreaker,Solar Charged,48.56,113087,2.83
Phantom Lancer,Convergence,50.86,112209,2.8
Gyrocopter,Afterburner,46.90,111833,2.61
Pangolier,Double Jump,39.29,109794,2.32
Sven,Heavy Plate,46.93,109700,2.35
Dragon Knight,Frost Dragon,54.16,108705,3.15
Puck,Jostling Rift,44.10,108617,2.78
Treant Protector,Sapling,50.20,108547,3.25
Tidehunter,Kraken Swell,50.05,108163,2.92
Mars,Victory Feast,46.45,104774,2.63
Oracle,Clairvoyant Cure,54.48,103581,3.51
Spirit Breaker,Imbalanced,46.70,103101,2.93
Clockwerk,Hookup,50.65,101929,2.87
Treant Protector,Primeval Power,46.48,100804,2.75
Omniknight,Omnipresent,45.69,98195,2.27
Earth Spirit,Resonance,44.08,97806,2.59
Sven,Wrath of God,48.37,97654,2.44
Alchemist,Seed Money,47.81,97400,2.57
Tinker,Repair Bots,40.88,97058,2.49
Faceless Void,Time Zone,46.17,97027,2.77
Undying,Ripped,53.71,96777,3.06
Outworld Destroyer,Overwhelming Devourer,52.41,96659,2.94
Crystal Maiden,Cold Comfort,49.34,96649,2.46
Riki,Exterminator,50.19,96462,3.08
Death Prophet,Suppress,47.73,94925,2.72
Razor,Dynamo,51.57,94830,2.94
Templar Assassin,Voidblades,44.37,91332,2.63
Lich,Growing Cold,54.87,90629,3.03
Oracle,Clairvoyant Curse,47.90,89554,3.3
Winter Wyvern,Essence of the Blueheart,48.45,87936,2.53
Snapfire,Full Bore,43.39,87145,2.72
Meepo,More Meepo,45.85,85580,2.25
Clinkz,Engulfing Step,50.43,85119,2.73
Batrider,Stoked,40.73,83099,2.47
Arc Warden,Disorder,50.90,82347,2.87
Necrophos,Rapid Decay,51.09,81211,2.97
Underlord,Abyssal Horde,57.78,80560,3.38
Dark Seer,Heart of Battle,54.76,79276,3.51
Bristleback,Snot Rocket,50.04,79219,2.53
Broodmother,Feeding Frenzy,44.15,78571,2.52
Shadow Demon,Promulgate,44.11,78531,2.7
Queen Of Pain,Masochist,43.78,76688,2.78
Monkey King,Simian Stride,44.38,76648,2.3
Naga Siren,Rip Tide,49.37,76334,2.66
Viper,Caustic Bath,49.25,74446,2.62
Weaver,Hivemind,48.05,74297,3.03
Ursa,Bear Down,53.34,73788,2.98
Alchemist,Mixologist,48.94,73661,2.77
Omniknight,Healing Hammer,47.62,73520,2.41
