Hero Name,Facet,Win Rate,No Matches,KDA
pudge,Fresh Meat,53.43%,"1,127,368",2.96
shadow-fiend,Shadowmire,47.61%,"896,730",2.84
ogre-magi,Fat Chance,52.32%,"799,584",2.94
spirit-breaker,Bull Rush,50.85%,"776,039",3.42
juggernaut,Bladestorm,53.53%,"727,785",2.82
sniper,Ghillie Suit,49.65%,"634,229",3.22
zeus,Divine Rampage,52.57%,"628,998",4.47
drow-ranger,Vantage Point,54.50%,"570,241",2.75
lion,Essence Eater,47.50%,"558,003",2.48
zeus,Livewire,52.08%,"522,760",4.29
jakiro,Liquid Fire,52.20%,"506,159",2.72
wraith-king,Spectral Blade,60.03%,"501,262",3.82
phantom-assassin,Veiled One,51.11%,"494,845",2.68
weaver,Skitterstep,51.37%,"478,152",3.39
legion-commander,Stonehall Plate,49.80%,"477,497",2.90
silencer,Irrepressible,58.51%,"468,160",2.74
warlock,Champion of Gorroth,58.48%,"462,887",3.37
crystal-maiden,Frozen Expanse,51.66%,"453,078",2.74
axe,Call Out,55.61%,"449,552",2.76
nyx-assassin,Mana Burn,48.33%,"440,198",2.79
witch-doctor,Headhunter,54.69%,"425,999",3.12
lina,Slow Burn,44.59%,"410,231",2.47
windranger,Tailwind,49.36%,"408,525",3.37
ancient-apparition,Bone Chill,52.77%,"408,170",3.02
shadow-shaman,Cluster Cluck,56.29%,"407,415",3.17
viper,Poison Burst,48.93%,"404,796",2.63
invoker,Elitist,45.80%,"400,582",3.11
rubick,Arcane Accumulation,49.06%,"393,178",3.42
faceless-void,Temporal Impunity,51.36%,"392,329",3.04
venomancer,Patient Zero,52.67%,"391,978",2.89
pudge,Flayer's Hook,47.74%,"391,026",2.60
dark-willow,Throwing Shade,47.71%,"385,780",2.86
necrophos,Profane Potency,54.57%,"382,729",3.19
lion,Fist of Death,44.40%,"378,870",2.32
vengeful-spirit,Soul Strike,52.43%,"371,264",2.50
hoodwink,Go Nuts,47.16%,"371,036",3.26
magnus,Run Through,41.76%,"370,028",2.47
clinkz,Suppressive Fire,49.98%,"367,260",2.75
monkey-king,Wukong's Faithful,47.21%,"364,675",2.48
bounty-hunter,Cutpurse,50.03%,"359,499",2.65
ursa,Grudge Bearer,50.94%,"354,642",2.71
axe,One Man Army,58.48%,"349,509",3.02
earthshaker,Tectonic Buildup,48.15%,"331,208",2.75
slark,Leeching Leash,47.62%,"326,867",2.49
rubick,Frugal Filch,44.94%,"325,428",3.06
lifestealer,Corpse Eater,51.16%,"318,737",2.93
riki,Contract Killer,50.74%,"315,428",3.10
queen-of-pain,Succubus,46.21%,"313,884",3.06
techies,Spoon's Stash,43.13%,"311,484",2.33
bounty-hunter,Through and Through,49.65%,"306,829",2.76
chaos-knight,Phantasmagoria,55.68%,"305,061",2.90
bristleback,Berserk,53.25%,"304,110",2.73
earthshaker,Slugger,45.35%,"302,753",2.61
natures-prophet,Soothing Saplings,43.88%,"302,319",2.28
undying,Rotting Mitts,53.56%,"301,790",3.03
disruptor,Thunderstorm,48.59%,"301,693",3.28
dazzle,Poison Bloom,47.99%,"298,689",2.55
marci,Sidekick,44.99%,"297,284",2.30
hoodwink,Treebounce Trickshot,49.54%,"294,194",3.40
phantom-assassin,Methodical,46.68%,"293,591",2.35
lich,Frostbound,57.77%,"285,984",3.01
vengeful-spirit,Avenging Missile,52.69%,"285,848",2.52
storm-spirit,Shock Collar,50.31%,"282,480",3.18
skywrath-mage,Shield of the Scion,52.66%,"279,069",3.47
invoker,Agnostic,43.65%,"278,200",2.85
sand-king,Sandshroud,54.74%,"277,491",2.77
ogre-magi,Learning Curve,52.33%,"268,235",3.06
bloodseeker,Arterial Spray,46.70%,"259,367",2.39
io,Kritzkrieg,48.81%,"258,303",2.82
slardar,Leg Day,52.18%,"257,760",2.72
sniper,Scattershot,45.14%,"253,317",2.89
tiny,Insurmountable,51.91%,"253,292",3.40
shadow-shaman,Massive Serpent Ward,53.70%,"249,254",2.71
windranger,Whirlwind,47.96%,"247,735",2.94
silencer,Reverberating Silence,59.11%,"244,500",2.94
anti-mage,Mana Thirst,50.75%,"243,446",2.91
slardar,Brineguard,53.44%,"242,054",2.71
void-spirit,Sanctuary,52.84%,"235,843",3.60
lina,Thermal Runaway,45.82%,"234,818",2.42
keeper-of-the-light,Solar Bind,43.37%,"233,171",2.89
phantom-lancer,Divergence,55.11%,"230,985",3.28
enchantress,Spellbound,48.06%,"228,992",2.84
centaur-warrunner,Counter-Strike,53.69%,"226,168",2.92
sand-king,Dust Devil,54.41%,"224,449",2.54
leshrac,Chronoptic Nourishment,58.22%,"222,391",2.86
huskar,Bloodbath,48.59%,"218,911",2.09
witch-doctor,Cleft Death,51.33%,"218,724",2.75
skywrath-mage,Staff of the Scion,52.39%,"212,793",3.36
snapfire,Ricochet II,43.85%,"212,457",2.54
juggernaut,Bladeform,54.55%,"211,573",2.98
razor,Thunderhead,49.16%,"211,176",2.79
shadow-fiend,Lasting Presence,46.38%,"208,514",2.30
jakiro,Liquid Frost,50.10%,"208,061",2.69
templar-assassin,Refractor,48.81%,"206,310",3.17
